شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
386165,7148,5803300000,47749175,4398,2142500,288,99735000,394500,1482,39190000,2187000,4376,18488298107,13325000,5229,29166309801,22921,65798175
224915,6964,5269630000,40979775,3572,1624000,446,295713000,603000,1354,49990000,1863000,4820,24438783976,14778000,5737,33063565098,22893,59847775
386358,7548,5727170000,48102520,4211,2081500,83,67948000,121500,2003,64740000,2974500,4096,19935369072,12401500,4906,28130228155,22847,65681520
382366,8598,6996510000,56631335,3240,1567500,224,128782000,306000,1334,41400000,1942500,4348,22295073473,13217500,5092,34718143666,22836,73664835
385971,10388,6319800000,53462875,3345,1668500,205,78588000,307500,1599,44010000,2392500,3349,14070999117,10103000,3935,21979841498,22821,67934375
385015,6497,6336500000,41399675,2753,1007000,695,421775000,799500,524,26810000,616500,5414,40150005983,16284500,6920,53756916289,22803,60107175
320134,8062,6922890000,55425355,3629,1747500,329,166534000,465000,1553,44870000,2224500,4190,22698386719,12752500,5013,33314711309,22776,72614855
313382,9894,6854900000,55626635,3306,1600500,154,53574000,213000,1528,42350000,2242500,3595,18761123506,10913500,4277,27437548510,22754,70596135
386058,9367,6254250000,52522350,3833,1900500,324,112552000,483000,1683,44100000,2512500,3432,14076609717,10359500,4070,21357137331,22709,67777850
310777,7732,5814330000,46010075,3046,1428500,400,277228000,564000,1439,51530000,2041500,4672,24314467206,14313500,5404,32848434465,22693,64357575
386263,7344,5426900000,37383850,2538,957000,433,559628000,480000,792,31510000,1008000,5029,31888815121,15169000,6538,42517622933,22674,54997850
221579,8045,7836050000,50025475,2561,810500,751,1279361000,793500,501,27400000,585000,4701,36095042036,14085500,6111,45166257256,22670,66299975
385001,7323,5430410000,45923460,3803,1895000,438,281434000,655500,1664,52220000,2488500,4360,22584914403,13159000,5073,32522552162,22661,64121460
385665,6669,6682750000,45392125,2387,917500,438,603082000,489000,597,30450000,750000,5706,42126806090,17310000,6804,55495100968,22601,64858625
216650,6589,6308700000,39477825,2162,753500,482,424058000,453000,532,30110000,616500,5621,43116736518,16759000,7179,56556904040,22565,58059825
386154,6317,5309700000,42673740,3271,1581500,198,93376000,271500,1278,40540000,1870500,5273,32293642158,16107500,6149,44412711284,22486,62504740
384360,7743,5785410000,48950310,3271,1622500,316,81723000,472500,1355,48990000,2013000,4482,22710131825,13527500,5303,33985005302,22470,66585810
386245,8395,4876530000,40727580,3210,1581500,259,80538000,382500,1536,45680000,2287500,4159,14928469963,12578500,4874,24301468546,22433,57557580
386234,9248,7523090000,63135365,3460,1714000,444,151444000,651000,1637,49720000,2428500,3484,17935526067,10497500,4159,24890528069,22432,78426365
300364,7880,6459210000,51515185,3189,1513000,407,217108000,570000,1070,41990000,1534500,4584,27486721254,14049500,5285,36187667971,22415,69182185
344726,5865,6423170000,42002580,2478,949000,528,764973000,583500,503,29110000,543000,5927,46890792290,17891000,7110,61305780299,22411,61969080
