شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224898,5664,4879700000,29557475,2329,630000,266,187730000,249000,646,23300000,729000,2381,14690018267,7145000,3738,20638459534,15024,38310475
224365,11836,12493500000,92861650,3076,1219500,227,146670000,249000,1031,41790000,1378500,4060,26225930810,12551000,5411,34957288000,25641,108259650
224491,2186,1851900000,11789500,1198,346000,135,67737000,165000,352,11970000,403500,1080,7711604421,3298500,1797,12208947645,6748,16002500
385288,1509,1271100000,7889700,877,241500,99,45602000,76500,243,7570000,286500,854,7008625463,2657000,1398,9730075499,4980,11151200
224992,5943,5570900000,33658640,2511,724000,235,252453000,226500,843,29150000,964500,2674,18977416224,8112000,4078,28154454247,16284,43685640
385869,11355,11584000000,90501625,2602,1138000,216,114974000,292500,1079,38770000,1510500,3593,20306203503,11043500,4346,27638237809,23191,104486125
224827,3496,3524910000,23005760,1119,332000,226,159118000,232500,328,17570000,372000,1661,12433295610,4995500,2466,16624811948,9296,28937760
215098,4119,2885550000,18092250,1556,433500,216,84557000,207000,620,21440000,751500,1510,10503542129,4716000,2716,15236161414,10737,24200250
386025,1458,1269300000,8370970,760,205000,174,120731000,198000,202,7560000,214500,640,3906815831,2020500,1262,6374790938,4496,11008970
224244,1500,1284390000,8591205,676,182000,193,272038000,172500,164,6390000,198000,660,4444049411,2037500,1282,6017980995,4475,11181205
224843,6254,5596750000,40882875,2105,776000,313,116152000,400500,984,31920000,1251000,2211,13105584122,6859000,3120,17254531126,14987,50169375
224429,6637,6912680000,50519580,2444,968000,317,158284000,399000,699,36090000,916500,3281,21018914100,10184500,4296,30576399007,17674,62987580
224980,4565,4825590000,35998095,1847,765000,257,192208000,303000,460,21750000,597000,2404,15584012245,7457000,3238,19920070442,12771,45120095
223058,1717,1745550000,10590575,719,178000,226,101233000,196500,123,6600000,126000,890,6686241076,2753000,1428,8714025352,5103,13844075
384797,1353,1411650000,8711650,705,198500,428,226300000,339000,95,3310000,102000,919,7676557909,2826000,1289,9341150053,4789,12177150
215197,1789,1535630000,10331240,762,221000,393,160392000,438000,252,9730000,340500,801,5185648810,2470500,1334,6996406121,5331,13801240
218838,3662,2987140000,20364300,1314,394000,162,55103000,144000,469,20620000,553500,1546,10899145426,4895000,2591,15016399330,9744,26350800
281756,4868,3998700000,30873700,1333,506500,315,123871000,414000,527,20010000,720000,1216,7502244155,3767000,1671,10694817607,9930,36281200
385712,3297,2856170000,20886200,1107,429500,297,94528000,399000,565,22190000,751500,1313,9668260921,4014500,1897,12292530603,8476,26480700
385637,5096,4885620000,35547765,1342,499000,300,234908000,409500,456,17290000,633000,1572,11543337474,4951500,2278,15350841146,11044,42040765
224844,2723,2328710000,14245915,1221,310500,224,136405000,264000,312,12000000,348000,1249,9108144711,3817000,2184,14917535167,7913,18985415
384642,701,560900000,2964375,295,103500,44,15947000,21000,70,3440000,69000,428,2030125000,1364500,520,2433728000,2058,4522375
225981,5336,5574600000,33117275,2086,602000,308,208304000,304500,542,23520000,594000,3570,27231577327,11095000,5243,38120528971,17085,45712775
224847,3149,2900350000,18029775,1377,340500,480,313401000,556500,381,14220000,451500,1820,15032574019,5640000,2954,22472447593,10161,25018275
224849,7464,5607150000,40191400,1351,494500,135,101611000,148500,388,16310000,516000,1602,10241955530,4903000,2399,16053671286,13339,46253400
385668,3160,3907500000,29281650,717,309500,23,20889000,22500,252,13410000,339000,962,6662167588,3006000,1206,7771968750,6320,32958650
224384,7214,6361150000,44589725,2396,901000,225,154397000,226500,1067,38370000,1417500,3042,19642415053,9274500,4181,26061415225,18125,56409225
271748,7004,8170200000,54081675,2297,843500,393,263930000,391500,809,36880000,984000,4220,30630953086,12700500,5383,40249477681,20106,69001175
386199,6568,7498950000,51002550,2172,789000,228,179174000,216000,702,35620000,868500,3859,28103740304,11686000,5107,39862227117,18636,64562050
276247,6069,5854450000,41514000,1995,748000,217,244061000,243000,878,33820000,1158000,2963,19132183110,8979500,3874,25502758363,15996,52642500
296041,7974,8929850000,60581625,2604,920500,311,198894000,327000,766,40420000,934500,5683,45583909742,17356000,7148,63924924231,24486,80119625
385642,4758,3953550000,27030850,1616,532000,216,155935000,222000,588,22640000,700500,2329,15293762482,7322000,3335,20985327383,12842,35807350
224990,2088,1600700000,10881275,1058,377000,498,323740000,609000,603,25770000,793500,1470,10790019522,4531500,2129,14037302073,7846,17192275
296867,4937,3765750000,28360250,2229,893000,447,506306000,591000,1141,50720000,1519500,3305,20279651023,10230500,4272,27690855220,16331,41594250
224850,2239,1618900000,9310050,984,257000,80,56647000,70500,258,9330000,327000,1028,7046671027,3248500,1958,12305866400,6547,13213050
223085,3770,3544830000,25252055,1377,493000,186,54707000,205500,489,15340000,616500,1167,8599254232,3620000,1941,10962773318,8930,30187055
224851,3372,2141150000,14977425,1404,463000,49,31395000,52500,593,20730000,813000,1475,7945071698,4566000,2429,11214749303,9322,20871925
224389,3542,2838600000,20343475,1463,491000,26,12454000,25500,320,11540000,412500,2006,11159006925,6279500,2884,16759808822,10241,27551975
385676,369,253250000,1911225,216,82000,14,9549000,21000,128,6220000,178500,235,966663000,725000,328,1269166015,1290,2917725
265026,678,612460000,2582725,656,112500,26,13431000,25500,83,3680000,76500,699,5172809000,2233000,1393,8010927313,3535,5030225
265025,390,409690000,1895840,418,86500,74,56490000,99000,57,2840000,36000,555,3894225056,1730500,920,5573098306,2414,3847840
220159,4594,3642250000,26105625,1679,621000,61,36991000,73500,578,22410000,777000,2474,15811760598,7626000,3374,22245747900,12760,35203125
