شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224844,3378,2728050000,19146675,1232,410000,276,213367000,322500,365,14900000,481500,1845,11726426818,5585000,2818,16803668417,9914,25945675
386300,4823,3374450000,27928025,1440,702000,36,22188000,54000,698,18360000,1042500,1282,6362828806,3913000,1526,11081217840,9805,33639525
218193,3020,2491940000,15198850,1153,328000,246,306227000,222000,298,15590000,286500,2087,17111042678,6030000,2951,23750410164,9755,22065350
385638,3752,2818600000,21740450,1210,506500,75,38606000,96000,515,15400000,706500,1771,11371587195,5563000,2406,15576808753,9729,28612450
207984,2408,2358400000,12666275,1059,278000,238,267876000,178500,184,9210000,178500,2466,27470582435,7148000,3335,36517989678,9690,20449275
224649,2691,2699070000,14373585,1003,258500,215,202036000,147000,225,10730000,223500,2244,20503633233,6547500,3287,27734430288,9665,21550085
386333,6402,3385550000,28319025,735,357500,30,11079000,42000,258,8150000,387000,1042,3630154640,3149500,1173,4665059643,9640,32255025
386494,3551,2719980000,21754135,1168,558000,119,1398725000,168000,374,15270000,537000,2042,12732818797,6260000,2373,16058422797,9627,29277135
385618,2932,2356350000,17261375,1218,433000,270,230662000,325500,405,14840000,538500,1928,12421096543,5895500,2818,15796004545,9571,24453875
224472,2813,2271750000,13203475,1363,305000,316,126633000,306000,308,12940000,298500,1904,12151860352,5698500,2841,17074606272,9545,19811475
224396,3619,2056380000,15417470,1553,667500,173,83982000,229500,695,27660000,993000,1550,8706898108,4774500,1934,11064195074,9524,22081970
385677,1655,1480770000,9872325,426,121000,127,172651000,118500,41,1290000,42000,3165,36791881988,9265000,4075,54241798484,9489,19418825
386378,6954,3601600000,29497125,706,339000,42,17700000,60000,273,8660000,403500,668,2627507000,2018000,824,3280666015,9467,32317625
224786,2531,2266950000,12045350,899,234500,176,227872000,127500,193,9930000,193500,2396,21060652071,6928000,3258,27974201935,9453,19528850
226011,2783,2281600000,15702475,1217,440500,148,147718000,141000,359,17470000,448500,2040,15321751692,6333000,2881,21699507488,9428,23065475
223085,4018,3597700000,26589275,1221,465500,170,47987000,219000,524,17360000,682500,1373,9120241329,4229500,2083,12321899241,9389,32185775
386480,2930,2377730000,19886005,1436,700500,103,67158000,154500,458,16240000,675000,2017,10689429625,6128000,2422,16217182004,9366,27544005
278813,2379,2698150000,14867775,883,225000,378,529020000,246000,235,12520000,199500,2359,20230298543,6960500,3120,26686267411,9354,22498775
366258,1961,1595500000,10248535,1351,410500,306,171999000,235500,423,15120000,427500,2137,14098901751,6309000,3158,20826409317,9336,17631035
275148,2765,2117830000,15177175,1018,385000,444,214280000,474000,287,14330000,402000,2060,17082903681,6336000,2742,21633976381,9316,22774175
385534,2533,2120250000,17557600,773,374500,45,37208000,67500,294,10630000,433500,2562,16669332980,7795500,3053,20622473369,9260,26228600
386391,4518,2758360000,22855055,1352,659000,36,12099000,51000,704,16980000,1024500,1188,5095146005,3608500,1427,7240894243,9225,28198055
279774,2989,2630270000,17832745,1016,295000,291,189206000,366000,230,13730000,261000,1890,16606547104,5655500,2794,22332331886,9210,24410245
386541,3289,2531610000,20920710,1993,987500,91,25374000,136500,633,18370000,945000,1423,7555511974,4295500,1739,11572363009,9168,27285210
386571,4456,2932100000,24368225,1244,592000,82,43262000,118500,445,14170000,661500,1329,7390617196,4016000,1606,9388584489,9162,29756225
386556,3803,2681130000,22707835,1703,812500,65,17652000,97500,264,9180000,393000,1471,8213136359,4440000,1852,12620085459,9158,28450835
386533,3672,2383720000,19200055,1123,540000,97,49340000,145500,660,20590000,940500,1661,6661001106,5055000,1927,8551212414,9140,25881055
386344,3168,2288590000,19319395,1170,574000,141,50410000,210000,437,15420000,655500,1896,10128889542,5744000,2281,13357013255,9093,26502895
224819,3160,2727650000,19095250,972,298500,294,374048000,334500,212,9580000,271500,1701,12949643944,5304000,2716,18695396807,9055,25303750
264881,2210,1911800000,5865000,1347,297500,492,270427000,276000,251,10140000,213000,2089,10468225212,5445000,2641,12740426316,9030,12096500
386561,2629,2398700000,15540975,1194,388500,211,133256000,213000,217,9830000,246000,2058,15795618125,6294000,2689,19650093613,8998,22682475
386376,4201,3072800000,25790275,1329,658500,84,20864000,121500,635,19180000,942000,1267,5859621000,3855500,1479,8997074323,8995,31367775
223322,2358,1854700000,10401025,1110,241500,295,236239000,327000,159,9470000,163500,1883,16050717580,5562000,3157,21158929884,8962,16695025
284648,2583,1623600000,10901335,1311,463000,270,159187000,349500,498,16630000,663000,1706,11904389859,5250500,2532,16646896159,8900,17627335
215953,3892,2647150000,18404200,894,310000,226,104629000,264000,498,22700000,508500,1384,8644531885,4090000,1919,11971217860,8813,23576700
386407,2628,2579990000,20891215,1067,518500,74,146042000,100500,389,15870000,549000,2164,10472170357,6623500,2488,12951332357,8810,28682715
226537,3541,2511900000,18065900,1091,364000,167,61746000,156000,363,11990000,492000,1362,9493442603,4339000,2224,13044883963,8748,23416900
386373,3874,3285450000,27483900,1149,568000,24,9165000,34500,501,16560000,748500,1434,8601864770,4329500,1716,12148935770,8698,33164400
386568,3595,2502400000,20153925,1534,737000,115,38795000,166500,559,15930000,817500,1291,6423406582,3947000,1593,9356778748,8687,25821925
386443,2422,2174350000,15925175,989,427500,212,152817000,267000,242,13160000,310500,2184,13573321339,6687500,2545,15872556690,8594,23617675
224990,2201,1546000000,10143050,1033,352500,507,338253000,657000,550,23140000,718500,1688,11332958631,5229500,2482,16598542951,8461,17100550
279234,1942,1277450000,9239670,1023,381000,73,43067000,63000,301,10770000,369000,2151,14536139431,6537500,2922,18863622362,8412,16590170
386172,2756,2159900000,16598375,983,443500,167,48160000,214500,529,17790000,726000,1759,8047292100,5270000,2164,10820728924,8358,23252375
384938,2743,2017700000,15648585,794,366500,156,195918000,222000,494,21420000,717000,1932,9811477499,5930500,2236,12985889788,8355,22884585
203006,1936,1746500000,8711650,986,190500,278,198970000,145500,111,5580000,91500,2047,19505232187,5795500,2968,28719489800,8326,14934650
224491,2865,2192000000,14630200,1082,321500,120,59320000,126000,287,10320000,363000,1607,11884282927,4830500,2270,15893026614,8231,20271200
386472,3520,2421500000,19704700,888,429500,123,64863000,168000,315,12410000,456000,1564,9207178074,4841500,1795,11533340074,8205,25599700
386324,2657,1868550000,15591975,1482,730000,134,32317000,201000,643,19980000,948000,1482,8411987821,4482500,1802,15078245345,8200,21953475
